Sample,InsertionSortTime,InsertionSortCompares,InsertionSortMemaccess,MergeSortTime,MergeSortCompares,MergeSortMemaccess,QuickSortTime,QuickSortCompares,QuickSortMemaccess
Sample01,0.000000,32,156,0.000000,22,180,0.000000,49,86
Sample02,0.000000,28,132,0.000000,22,180,0.000000,45,74
Sample03,0.000000,31,150,0.000000,24,184,0.000000,46,79
Sample04,0.000000,27,126,0.000000,25,186,0.000000,49,90
Sample05,0.000000,22,96,0.000000,18,172,0.000000,55,84
Sample06,0.000000,29,138,0.000000,21,178,0.000000,50,91
Sample07,0.000000,26,120,0.000000,24,184,0.000000,62,99
Sample08,0.000000,22,96,0.000000,22,180,0.000000,62,91
Sample09,0.000000,34,168,0.000000,21,178,0.000000,48,85
Sample10,0.000000,41,210,0.000000,22,180,0.000000,52,101
