Sample,InsertionSortTime,InsertionSortCompares,InsertionSortMemaccess,MergeSortTime,MergeSortCompares,MergeSortMemaccess,QuickSortTime,QuickSortCompares,QuickSortMemaccess
Sample01,0.000000,30,144,0.000000,25,186,0.000000,50,95
Sample02,0.000000,36,180,0.000000,22,180,0.000000,55,108
Sample03,0.000000,31,150,0.000000,23,182,0.000000,56,97
Sample04,0.000000,36,180,0.000000,23,182,0.000000,56,101
Sample05,0.000000,34,168,0.000000,24,184,0.000000,59,96
Sample06,0.000000,34,168,0.000000,22,180,0.000000,56,101
Sample07,0.000000,30,144,0.000000,23,182,0.000000,46,83
Sample08,0.000000,31,150,0.000000,24,184,0.000000,57,90
Sample09,0.000000,27,126,0.000000,23,182,0.000000,52,93
Sample10,0.000000,33,162,0.000000,22,180,0.000000,55,88
