Sample,InsertionSortTime,InsertionSortCompares,InsertionSortMemaccess,MergeSortTime,MergeSortCompares,MergeSortMemaccess,QuickSortTime,QuickSortCompares,QuickSortMemaccess
Sample01,0.000000,27,126,0.000000,23,182,0.000000,57,106
Sample02,0.000000,26,120,0.000000,23,182,0.000000,49,86
Sample03,0.000000,32,156,0.000000,24,184,0.000000,52,89
Sample04,0.000000,38,192,0.000000,19,174,0.000000,52,97
Sample05,0.000000,23,102,0.000000,23,182,0.000000,50,83
Sample06,0.000000,38,192,0.000000,21,178,0.000000,58,103
Sample07,0.000000,41,210,0.000000,23,182,0.000000,46,87
Sample08,0.000000,27,126,0.000000,24,184,0.000000,52,85
Sample09,0.000000,35,174,0.000000,24,184,0.000000,52,93
Sample10,0.000000,36,180,0.000000,22,180,0.000000,51,88
