Sample,InsertionSortTime,InsertionSortCompares,InsertionSortMemaccess,MergeSortTime,MergeSortCompares,MergeSortMemaccess,QuickSortTime,QuickSortCompares,QuickSortMemaccess
Sample01,0.000000,35,174,0.000000,21,178,0.000000,58,99
Sample02,0.000000,30,144,0.000000,23,182,0.000000,50,95
Sample03,0.000000,30,144,0.000000,23,182,0.000000,49,94
Sample04,0.000000,29,138,0.000000,23,182,0.000000,51,84
Sample05,0.000000,30,144,0.000000,23,182,0.000000,55,92
Sample06,0.000000,27,126,0.000000,24,184,0.000000,51,92
Sample07,0.000000,19,78,0.000000,25,186,0.000000,52,85
Sample08,0.000000,37,186,0.000000,23,182,0.000000,47,88
Sample09,0.000000,27,126,0.000000,24,184,0.000000,49,82
Sample10,0.000000,31,150,0.000000,23,182,0.000000,45,78
