Sample,InsertionSortTime,InsertionSortCompares,InsertionSortMemaccess,MergeSortTime,MergeSortCompares,MergeSortMemaccess,QuickSortTime,QuickSortCompares,QuickSortMemaccess
Sample01,0.000000,29,138,0.000000,22,180,0.000000,54,95
Sample02,0.000000,32,156,0.000000,23,182,0.000000,59,104
Sample03,0.000000,36,180,0.000000,24,184,0.000000,54,91
Sample04,0.000000,28,132,0.000000,24,184,0.000000,53,90
Sample05,0.000000,21,90,0.000000,22,180,0.000000,51,84
Sample06,0.000000,30,144,0.000000,25,186,0.000000,48,85
Sample07,0.000000,39,198,0.000000,22,180,0.000000,48,89
Sample08,0.000000,26,120,0.000000,20,176,0.000000,48,85
Sample09,0.000000,32,156,0.000000,23,182,0.000000,49,86
Sample10,0.000000,42,216,0.000000,22,180,0.000000,48,85
