Sample,InsertionSortTime,InsertionSortCompares,InsertionSortMemaccess,MergeSortTime,MergeSortCompares,MergeSortMemaccess,QuickSortTime,QuickSortCompares,QuickSortMemaccess
Sample01,0.000000,25,114,0.000000,24,184,0.000000,53,94
Sample02,0.000000,35,174,0.000000,22,180,0.000000,49,90
Sample03,0.000000,34,168,0.000000,24,184,0.000000,46,83
Sample04,0.000000,27,126,0.000000,23,182,0.000000,63,104
Sample05,0.000000,21,90,0.000000,23,182,0.000000,51,92
Sample06,0.000000,38,192,0.000000,23,182,0.000000,47,84
Sample07,0.000000,27,126,0.000000,23,182,0.000000,50,83
Sample08,0.000000,29,138,0.000000,25,186,0.000000,57,90
Sample09,0.000000,40,204,0.000000,21,178,0.000000,52,89
Sample10,0.000000,25,114,0.000000,25,186,0.000000,52,93
