Sample,InsertionSortTime,InsertionSortCompares,InsertionSortMemaccess,MergeSortTime,MergeSortCompares,MergeSortMemaccess,QuickSortTime,QuickSortCompares,QuickSortMemaccess
Sample01,0.000000,35,174,0.000000,23,182,0.000000,60,101
Sample02,0.000000,27,126,0.000000,25,186,0.000000,46,79
Sample03,0.000000,31,150,0.000000,24,184,0.000000,49,90
Sample04,0.000000,38,192,0.000000,23,182,0.000000,56,93
Sample05,0.000000,33,162,0.000000,22,180,0.000000,53,102
Sample06,0.000000,44,228,0.000000,22,180,0.000000,49,94
Sample07,0.000000,27,126,0.000000,22,180,0.000000,51,92
Sample08,0.000000,26,120,0.000000,21,178,0.000000,53,98
Sample09,0.000000,34,168,0.000000,25,186,0.000000,52,97
Sample10,0.000000,22,96,0.000000,24,184,0.000000,48,77
