Sample,InsertionSortTime,InsertionSortCompares,InsertionSortMemaccess,MergeSortTime,MergeSortCompares,MergeSortMemaccess,QuickSortTime,QuickSortCompares,QuickSortMemaccess
Sample01,0.000000,30,144,0.000000,23,182,0.000000,53,98
Sample02,0.000000,49,258,0.000000,19,174,0.000000,47,88
Sample03,0.000000,42,216,0.000000,23,182,0.000000,49,94
Sample04,0.000000,32,156,0.000000,20,176,0.000000,51,96
Sample05,0.000000,35,174,0.000000,22,180,0.000000,52,101
Sample06,0.000000,32,156,0.000000,23,182,0.000000,52,97
Sample07,0.000000,31,150,0.000000,23,182,0.000000,62,111
Sample08,0.000000,27,126,0.000000,24,184,0.000000,56,97
Sample09,0.000000,18,72,0.000000,23,182,0.000000,49,86
Sample10,0.000000,42,216,0.000000,22,180,0.000000,58,95
