Sample,InsertionSortTime,InsertionSortCompares,InsertionSortMemaccess,MergeSortTime,MergeSortCompares,MergeSortMemaccess,QuickSortTime,QuickSortCompares,QuickSortMemaccess
Sample01,0.000000,31,150,0.000000,23,182,0.000000,54,103
Sample02,0.000000,28,132,0.000000,23,182,0.000000,49,86
Sample03,0.000000,30,144,0.000000,23,182,0.000000,49,94
Sample04,0.000000,29,138,0.000000,24,184,0.000000,48,81
Sample05,0.000000,24,108,0.000000,20,176,0.000000,49,78
Sample06,0.000000,38,192,0.000000,23,182,0.000000,49,78
Sample07,0.000000,41,210,0.000000,23,182,0.000000,52,101
Sample08,0.000000,34,168,0.000000,23,182,0.000000,48,85
Sample09,0.000000,38,192,0.000000,23,182,0.000000,49,86
Sample10,0.000000,30,144,0.000000,24,184,0.000000,53,98
