Sample,InsertionSortTime,InsertionSortCompares,InsertionSortMemaccess,MergeSortTime,MergeSortCompares,MergeSortMemaccess,QuickSortTime,QuickSortCompares,QuickSortMemaccess
Sample01,0.000000,42,216,0.000000,20,176,0.000000,51,96
Sample02,0.000000,31,150,0.000000,22,180,0.000000,62,95
Sample03,0.000000,31,150,0.000000,24,184,0.000000,49,82
Sample04,0.000000,32,156,0.000000,23,182,0.000000,51,88
Sample05,0.000000,40,204,0.000000,23,182,0.000000,53,90
Sample06,0.000000,38,192,0.000000,23,182,0.000000,47,92
Sample07,0.000000,30,144,0.000000,24,184,0.000000,48,85
Sample08,0.000000,41,210,0.000000,22,180,0.000000,50,91
Sample09,0.000000,34,168,0.000000,21,178,0.000000,64,101
Sample10,0.000000,27,126,0.000000,23,182,0.000000,56,105
