Sample,InsertionSortTime,InsertionSortCompares,InsertionSortMemaccess,MergeSortTime,MergeSortCompares,MergeSortMemaccess,QuickSortTime,QuickSortCompares,QuickSortMemaccess
Sample01,0.000000,36,180,0.000000,22,180,0.000000,56,101
Sample02,0.000000,27,126,0.000000,25,186,0.000000,53,86
Sample03,0.000000,29,138,0.000000,24,184,0.000000,52,101
Sample04,0.000000,31,150,0.000000,23,182,0.000000,53,102
Sample05,0.000000,32,156,0.000000,25,186,0.000000,46,83
Sample06,0.000000,27,126,0.000000,22,180,0.000000,50,99
Sample07,0.000000,27,126,0.000000,21,178,0.000000,49,82
Sample08,0.000000,33,162,0.000000,23,182,0.000000,48,89
Sample09,0.000000,31,150,0.000000,23,182,0.000000,49,90
Sample10,0.000000,39,198,0.000000,21,178,0.000000,54,95
