Sample,InsertionSortTime,InsertionSortCompares,InsertionSortMemaccess,MergeSortTime,MergeSortCompares,MergeSortMemaccess,QuickSortTime,QuickSortCompares,QuickSortMemaccess
Sample01,0.000000,28,132,0.000000,24,184,0.000000,46,75
Sample02,0.000000,33,162,0.000000,22,180,0.000000,56,97
Sample03,0.000000,29,138,0.000000,21,178,0.000000,51,92
Sample04,0.000000,31,150,0.000000,24,184,0.000000,51,84
Sample05,0.000000,35,174,0.000000,24,184,0.000000,56,97
Sample06,0.000000,24,108,0.000000,24,184,0.000000,53,82
Sample07,0.000000,28,132,0.000000,21,178,0.000000,52,89
Sample08,0.000000,31,150,0.000000,24,184,0.000000,53,102
Sample09,0.000000,41,210,0.000000,22,180,0.000000,50,91
Sample10,0.000000,27,126,0.000000,25,186,0.000000,48,89
