Sample,InsertionSortTime,InsertionSortCompares,InsertionSortMemaccess,MergeSortTime,MergeSortCompares,MergeSortMemaccess,QuickSortTime,QuickSortCompares,QuickSortMemaccess
Sample01,0.000000,36,180,0.000000,21,178,0.000000,52,105
Sample02,0.000000,32,156,0.000000,21,178,0.000000,52,89
Sample03,0.000000,29,138,0.000000,21,178,0.000000,54,87
Sample04,0.000000,30,144,0.000000,24,184,0.000000,50,87
Sample05,0.000000,28,132,0.000000,22,180,0.000000,54,91
Sample06,0.000000,22,96,0.000000,21,178,0.000000,51,88
Sample07,0.000000,30,144,0.000000,24,184,0.000000,47,84
Sample08,0.000000,24,108,0.000000,22,180,0.000000,47,84
Sample09,0.000000,23,102,0.000000,22,180,0.000000,50,83
Sample10,0.000000,29,138,0.000000,23,182,0.000000,50,91
