Sample,InsertionSortTime,InsertionSortCompares,InsertionSortMemaccess,MergeSortTime,MergeSortCompares,MergeSortMemaccess,QuickSortTime,QuickSortCompares,QuickSortMemaccess
Sample01,0.000000,39,198,0.000000,20,176,0.000000,58,107
Sample02,0.000000,32,156,0.000000,22,180,0.000000,49,94
Sample03,0.000000,32,156,0.000000,23,182,0.000000,54,91
Sample04,0.000000,28,132,0.000000,25,186,0.000000,53,90
Sample05,0.000000,27,126,0.000000,23,182,0.000000,52,93
Sample06,0.000000,28,132,0.000000,22,180,0.000000,59,104
Sample07,0.000000,28,132,0.000000,23,182,0.000000,51,88
Sample08,0.000000,22,96,0.000000,23,182,0.000000,54,91
Sample09,0.000000,35,174,0.000000,22,180,0.000000,55,96
Sample10,0.000000,33,162,0.000000,24,184,0.000000,55,96
