Sample,InsertionSortTime,InsertionSortCompares,InsertionSortMemaccess,MergeSortTime,MergeSortCompares,MergeSortMemaccess,QuickSortTime,QuickSortCompares,QuickSortMemaccess
Sample01,0.000000,31,150,0.000000,22,180,0.000000,65,114
Sample02,0.000000,33,162,0.000000,22,180,0.000000,46,87
Sample03,0.000000,25,114,0.000000,23,182,0.000000,54,95
Sample04,0.000000,30,144,0.000000,23,182,0.000000,50,87
Sample05,0.000000,37,186,0.000000,21,178,0.000000,45,78
Sample06,0.000000,33,162,0.000000,23,182,0.000000,60,93
Sample07,0.000000,28,132,0.000000,25,186,0.000000,49,86
Sample08,0.000000,26,120,0.000000,24,184,0.000000,54,91
Sample09,0.000000,38,192,0.000000,18,172,0.000000,53,90
Sample10,0.000000,37,186,0.000000,23,182,0.000000,45,78
