Sample,InsertionSortTime,InsertionSortCompares,InsertionSortMemaccess,MergeSortTime,MergeSortCompares,MergeSortMemaccess,QuickSortTime,QuickSortCompares,QuickSortMemaccess
Sample01,0.000000,33,162,0.000000,23,182,0.000000,56,97
Sample02,0.000000,29,138,0.000000,21,178,0.000000,52,93
Sample03,0.000000,31,150,0.000000,23,182,0.000000,56,97
Sample04,0.000000,42,216,0.000000,19,174,0.000000,51,88
Sample05,0.000000,35,174,0.000000,24,184,0.000000,58,107
Sample06,0.000000,25,114,0.000000,23,182,0.000000,55,88
Sample07,0.000000,41,210,0.000000,20,176,0.000000,50,83
Sample08,0.000000,32,156,0.000000,23,182,0.000000,50,95
Sample09,0.000000,29,138,0.000000,23,182,0.000000,59,108
Sample10,0.000000,25,114,0.000000,23,182,0.000000,48,89
