Sample,InsertionSortTime,InsertionSortCompares,InsertionSortMemaccess,MergeSortTime,MergeSortCompares,MergeSortMemaccess,QuickSortTime,QuickSortCompares,QuickSortMemaccess
Sample01,0.000000,25,114,0.000000,24,184,0.000000,52,93
Sample02,0.000000,29,138,0.000000,24,184,0.000000,61,102
Sample03,0.000000,23,102,0.000000,25,186,0.000000,53,94
Sample04,0.000000,32,156,0.000000,23,182,0.000000,52,97
Sample05,0.000000,38,192,0.000000,22,180,0.000000,58,103
Sample06,0.000000,24,108,0.000000,25,186,0.000000,52,97
Sample07,0.000000,26,120,0.000000,24,184,0.000000,51,88
Sample08,0.000000,30,144,0.000000,24,184,0.000000,54,91
Sample09,0.000000,29,138,0.000000,23,182,0.000000,44,69
Sample10,0.000000,24,108,0.000000,22,180,0.000000,52,89
