Sample,InsertionSortTime,InsertionSortCompares,InsertionSortMemaccess,MergeSortTime,MergeSortCompares,MergeSortMemaccess,QuickSortTime,QuickSortCompares,QuickSortMemaccess
Sample01,0.000000,31,150,0.000000,23,182,0.000000,49,90
Sample02,0.000000,31,150,0.000000,24,184,0.000000,52,93
Sample03,0.000000,32,156,0.000000,20,176,0.000000,54,91
Sample04,0.000000,30,144,0.000000,24,184,0.000000,48,93
Sample05,0.000000,29,138,0.000000,23,182,0.000000,51,92
Sample06,0.000000,38,192,0.000000,21,178,0.000000,52,97
Sample07,0.000000,25,114,0.000000,22,180,0.000000,51,92
Sample08,0.000000,36,180,0.000000,23,182,0.000000,53,98
Sample09,0.000000,28,132,0.000000,24,184,0.000000,49,86
Sample10,0.000000,36,180,0.000000,24,184,0.000000,55,92
