Sample,InsertionSortTime,InsertionSortCompares,InsertionSortMemaccess,MergeSortTime,MergeSortCompares,MergeSortMemaccess,QuickSortTime,QuickSortCompares,QuickSortMemaccess
Sample01,0.000000,31,150,0.000000,22,180,0.000000,52,93
Sample02,0.000000,35,174,0.000000,22,180,0.000000,50,91
Sample03,0.000000,30,144,0.000000,24,184,0.000000,55,92
Sample04,0.000000,24,108,0.000000,24,184,0.000000,53,98
Sample05,0.000000,25,114,0.000000,23,182,0.000000,54,103
Sample06,0.000000,28,132,0.000000,22,180,0.000000,46,75
Sample07,0.000000,33,162,0.000000,22,180,0.000000,53,86
Sample08,0.000000,27,126,0.000000,25,186,0.000000,47,80
Sample09,0.000000,33,162,0.000000,24,184,0.000000,55,96
Sample10,0.000000,35,174,0.000000,24,184,0.000000,50,99
