Sample,InsertionSortTime,InsertionSortCompares,InsertionSortMemaccess,MergeSortTime,MergeSortCompares,MergeSortMemaccess,QuickSortTime,QuickSortCompares,QuickSortMemaccess
Sample01,0.000000,26,120,0.000000,22,180,0.000000,54,99
Sample02,0.000000,28,132,0.000000,25,186,0.000000,48,85
Sample03,0.000000,31,150,0.000000,22,180,0.000000,54,95
Sample04,0.000000,31,150,0.000000,23,182,0.000000,52,85
Sample05,0.000000,38,192,0.000000,24,184,0.000000,54,99
Sample06,0.000000,33,162,0.000000,22,180,0.000000,47,88
Sample07,0.000000,34,168,0.000000,25,186,0.000000,48,85
Sample08,0.000000,32,156,0.000000,25,186,0.000000,49,86
Sample09,0.000000,31,150,0.000000,23,182,0.000000,63,104
Sample10,0.000000,28,132,0.000000,23,182,0.000000,49,86
