Sample,InsertionSortTime,InsertionSortCompares,InsertionSortMemaccess,MergeSortTime,MergeSortCompares,MergeSortMemaccess,QuickSortTime,QuickSortCompares,QuickSortMemaccess
Sample01,0.000000,34,168,0.000000,23,182,0.000000,47,84
Sample02,0.000000,24,108,0.000000,20,176,0.000000,54,99
Sample03,0.000000,31,150,0.000000,24,184,0.000000,49,90
Sample04,0.000000,33,162,0.000000,25,186,0.000000,62,95
Sample05,0.000000,23,102,0.000000,22,180,0.000000,52,93
Sample06,0.000000,38,192,0.000000,21,178,0.000000,49,86
Sample07,0.000000,30,144,0.000000,22,180,0.000000,50,87
Sample08,0.000000,27,126,0.000000,24,184,0.000000,53,86
Sample09,0.000000,31,150,0.000000,25,186,0.000000,52,93
Sample10,0.000000,34,168,0.000000,23,182,0.000000,48,85
