Sample,InsertionSortTime,InsertionSortCompares,InsertionSortMemaccess,MergeSortTime,MergeSortCompares,MergeSortMemaccess,QuickSortTime,QuickSortCompares,QuickSortMemaccess
Sample01,0.000000,28,132,0.000000,24,184,0.000000,49,86
Sample02,0.000000,23,102,0.000000,23,182,0.000000,50,91
Sample03,0.000000,32,156,0.000000,23,182,0.000000,53,90
Sample04,0.000000,30,144,0.000000,24,184,0.000000,59,96
Sample05,0.000000,32,156,0.000000,21,178,0.000000,51,96
Sample06,0.000000,25,114,0.000000,23,182,0.000000,51,92
Sample07,0.000000,33,162,0.000000,22,180,0.000000,62,111
Sample08,0.000000,29,138,0.000000,24,184,0.000000,61,102
Sample09,0.000000,34,168,0.000000,23,182,0.000000,48,93
Sample10,0.000000,29,138,0.000000,23,182,0.000000,48,81
