Sample,InsertionSortTime,InsertionSortCompares,InsertionSortMemaccess,MergeSortTime,MergeSortCompares,MergeSortMemaccess,QuickSortTime,QuickSortCompares,QuickSortMemaccess
Sample01,0.000000,26,120,0.000000,23,182,0.000000,57,102
Sample02,0.000000,35,174,0.000000,20,176,0.000000,55,104
Sample03,0.000000,36,180,0.000000,23,182,0.000000,49,94
Sample04,0.000000,35,174,0.000000,25,186,0.000000,56,97
Sample05,0.000000,32,156,0.000000,24,184,0.000000,56,93
Sample06,0.000000,27,126,0.000000,23,182,0.000000,63,104
Sample07,0.000000,26,120,0.000000,24,184,0.000000,52,89
Sample08,0.000000,25,114,0.000000,22,180,0.000000,51,92
Sample09,0.000000,31,150,0.000000,21,178,0.000000,45,78
Sample10,0.000000,28,132,0.000000,23,182,0.000000,56,101
