Sample,InsertionSortTime,InsertionSortCompares,InsertionSortMemaccess,MergeSortTime,MergeSortCompares,MergeSortMemaccess,QuickSortTime,QuickSortCompares,QuickSortMemaccess
Sample01,0.000000,21,90,0.000000,21,178,0.000000,54,87
Sample02,0.000000,34,168,0.000000,22,180,0.000000,49,94
Sample03,0.000000,36,180,0.000000,23,182,0.000000,53,98
Sample04,0.000000,23,102,0.000000,24,184,0.000000,53,102
Sample05,0.000000,25,114,0.000000,23,182,0.000000,51,84
Sample06,0.000000,29,138,0.000000,23,182,0.000000,55,88
Sample07,0.000000,30,144,0.000000,25,186,0.000000,54,99
Sample08,0.000000,25,114,0.000000,22,180,0.000000,48,89
Sample09,0.000000,30,144,0.000000,21,178,0.000000,48,85
Sample10,0.000000,31,150,0.000000,18,172,0.000000,54,87
