Sample,InsertionSortTime,InsertionSortCompares,InsertionSortMemaccess,MergeSortTime,MergeSortCompares,MergeSortMemaccess,QuickSortTime,QuickSortCompares,QuickSortMemaccess
Sample01,0.000000,39,198,0.000000,22,180,0.000000,54,95
Sample02,0.000000,32,156,0.000000,23,182,0.000000,55,92
Sample03,0.000000,27,126,0.000000,24,184,0.000000,52,85
Sample04,0.000000,37,186,0.000000,21,178,0.000000,54,103
Sample05,0.000000,37,186,0.000000,22,180,0.000000,55,96
Sample06,0.000000,35,174,0.000000,22,180,0.000000,51,92
Sample07,0.000000,25,114,0.000000,20,176,0.000000,45,78
Sample08,0.000000,29,138,0.000000,23,182,0.000000,49,90
Sample09,0.000000,33,162,0.000000,22,180,0.000000,46,87
Sample10,0.000000,42,216,0.000000,20,176,0.000000,52,97
