Sample,InsertionSortTime,InsertionSortCompares,InsertionSortMemaccess,MergeSortTime,MergeSortCompares,MergeSortMemaccess,QuickSortTime,QuickSortCompares,QuickSortMemaccess
Sample01,0.000000,37,186,0.000000,23,182,0.000000,49,98
Sample02,0.000000,24,108,0.000000,23,182,0.000000,51,88
Sample03,0.000000,26,120,0.000000,25,186,0.000000,52,81
Sample04,0.000000,31,150,0.000000,22,180,0.000000,50,91
Sample05,0.000000,34,168,0.000000,22,180,0.000000,52,89
Sample06,0.000000,32,156,0.000000,21,178,0.000000,46,83
Sample07,0.000000,42,216,0.000000,20,176,0.000000,48,85
Sample08,0.000000,33,162,0.000000,22,180,0.000000,53,102
Sample09,0.000000,28,132,0.000000,24,184,0.000000,58,103
Sample10,0.000000,35,174,0.000000,23,182,0.000000,53,94
