Sample,InsertionSortTime,InsertionSortCompares,InsertionSortMemaccess,MergeSortTime,MergeSortCompares,MergeSortMemaccess,QuickSortTime,QuickSortCompares,QuickSortMemaccess
Sample01,0.000000,34,168,0.000000,22,180,0.000000,48,93
Sample02,0.000000,40,204,0.000000,23,182,0.000000,50,103
Sample03,0.000000,26,120,0.000000,20,176,0.000000,59,104
Sample04,0.000000,27,126,0.000000,24,184,0.000000,45,78
Sample05,0.000000,42,216,0.000000,21,178,0.000000,48,85
Sample06,0.000000,34,168,0.000000,21,178,0.000000,51,96
Sample07,0.000000,27,126,0.000000,24,184,0.000000,57,114
Sample08,0.000000,30,144,0.000000,23,182,0.000000,55,84
Sample09,0.000000,38,192,0.000000,21,178,0.000000,60,105
Sample10,0.000000,28,132,0.000000,24,184,0.000000,51,88
