Sample,InsertionSortTime,InsertionSortCompares,InsertionSortMemaccess,MergeSortTime,MergeSortCompares,MergeSortMemaccess,QuickSortTime,QuickSortCompares,QuickSortMemaccess
Sample01,0.000000,40,204,0.000000,24,184,0.000000,49,94
Sample02,0.000000,29,138,0.000000,23,182,0.000000,51,100
Sample03,0.000000,33,162,0.000000,23,182,0.000000,58,107
Sample04,0.000000,30,144,0.000000,24,184,0.000000,54,99
Sample05,0.000000,35,174,0.000000,25,186,0.000000,47,88
Sample06,0.000000,33,162,0.000000,22,180,0.000000,45,78
Sample07,0.000000,28,132,0.000000,24,184,0.000000,50,87
Sample08,0.000000,34,168,0.000000,24,184,0.000000,47,76
Sample09,0.000000,34,168,0.000000,23,182,0.000000,49,86
Sample10,0.000000,26,120,0.000000,23,182,0.000000,47,84
