Sample,InsertionSortTime,InsertionSortCompares,InsertionSortMemaccess,MergeSortTime,MergeSortCompares,MergeSortMemaccess,QuickSortTime,QuickSortCompares,QuickSortMemaccess
Sample01,0.000000,37,186,0.000000,21,178,0.000000,50,91
Sample02,0.000000,39,198,0.000000,20,176,0.000000,54,95
Sample03,0.000000,30,144,0.000000,21,178,0.000000,54,107
Sample04,0.000000,31,150,0.000000,25,186,0.000000,56,105
Sample05,0.000000,32,156,0.000000,24,184,0.000000,61,106
Sample06,0.000000,22,96,0.000000,22,180,0.000000,50,87
Sample07,0.000000,27,126,0.000000,22,180,0.000000,52,93
Sample08,0.000000,20,84,0.000000,22,180,0.000000,52,89
Sample09,0.000000,39,198,0.000000,23,182,0.000000,53,102
Sample10,0.000000,24,108,0.000000,25,186,0.000000,52,81
