Sample,InsertionSortTime,InsertionSortCompares,InsertionSortMemaccess,MergeSortTime,MergeSortCompares,MergeSortMemaccess,QuickSortTime,QuickSortCompares,QuickSortMemaccess
Sample01,0.000000,50,264,0.000000,18,172,0.000000,45,82
Sample02,0.000000,30,144,0.000000,23,182,0.000000,57,102
Sample03,0.000000,36,180,0.000000,22,180,0.000000,53,98
Sample04,0.000000,21,90,0.000000,24,184,0.000000,57,98
Sample05,0.000000,35,174,0.000000,21,178,0.000000,58,99
Sample06,0.000000,43,222,0.000000,20,176,0.000000,52,93
Sample07,0.000000,26,120,0.000000,22,180,0.000000,50,87
Sample08,0.000000,27,126,0.000000,24,184,0.000000,63,104
Sample09,0.000000,28,132,0.000000,22,180,0.000000,49,94
Sample10,0.000000,26,120,0.000000,24,184,0.000000,47,84
