Sample,InsertionSortTime,InsertionSortCompares,InsertionSortMemaccess,MergeSortTime,MergeSortCompares,MergeSortMemaccess,QuickSortTime,QuickSortCompares,QuickSortMemaccess
Sample01,0.000000,34,168,0.000000,23,182,0.000000,50,87
Sample02,0.000000,32,156,0.000000,22,180,0.000000,55,100
Sample03,0.000000,37,186,0.000000,20,176,0.000000,45,86
Sample04,0.000000,28,132,0.000000,21,178,0.000000,46,83
Sample05,0.000000,30,144,0.000000,21,178,0.000000,56,93
Sample06,0.000000,29,138,0.000000,23,182,0.000000,50,91
Sample07,0.000000,29,138,0.000000,25,186,0.000000,58,91
Sample08,0.000000,36,180,0.000000,23,182,0.000000,48,85
Sample09,0.000000,30,144,0.000000,22,180,0.000000,48,85
Sample10,0.000000,37,186,0.000000,24,184,0.000000,45,78
