Sample,InsertionSortTime,InsertionSortCompares,InsertionSortMemaccess,MergeSortTime,MergeSortCompares,MergeSortMemaccess,QuickSortTime,QuickSortCompares,QuickSortMemaccess
Sample01,0.000000,21,90,0.000000,22,180,0.000000,54,95
Sample02,0.000000,40,204,0.000000,22,180,0.000000,51,96
Sample03,0.000000,25,114,0.000000,21,178,0.000000,58,99
Sample04,0.000000,32,156,0.000000,23,182,0.000000,49,94
Sample05,0.000000,36,180,0.000000,22,180,0.000000,54,91
Sample06,0.000000,27,126,0.000000,24,184,0.000000,54,95
Sample07,0.000000,34,168,0.000000,24,184,0.000000,64,109
Sample08,0.000000,42,216,0.000000,23,182,0.000000,58,95
Sample09,0.000000,35,174,0.000000,22,180,0.000000,51,100
Sample10,0.000000,31,150,0.000000,24,184,0.000000,47,80
