Sample,InsertionSortTime,InsertionSortCompares,InsertionSortMemaccess,MergeSortTime,MergeSortCompares,MergeSortMemaccess,QuickSortTime,QuickSortCompares,QuickSortMemaccess
Sample01,0.000000,26,120,0.000000,24,184,0.000000,49,86
Sample02,0.000000,34,168,0.000000,24,184,0.000000,49,86
Sample03,0.000000,23,102,0.000000,22,180,0.000000,50,91
Sample04,0.000000,35,174,0.000000,23,182,0.000000,51,92
Sample05,0.000000,37,186,0.000000,22,180,0.000000,59,100
Sample06,0.000000,36,180,0.000000,22,180,0.000000,48,93
Sample07,0.000000,23,102,0.000000,22,180,0.000000,49,82
Sample08,0.000000,24,108,0.000000,23,182,0.000000,57,94
Sample09,0.000000,34,168,0.000000,23,182,0.000000,48,85
Sample10,0.000000,38,192,0.000000,24,184,0.000000,53,98
