Sample,InsertionSortTime,InsertionSortCompares,InsertionSortMemaccess,MergeSortTime,MergeSortCompares,MergeSortMemaccess,QuickSortTime,QuickSortCompares,QuickSortMemaccess
Sample01,0.000000,27,126,0.000000,21,178,0.000000,54,95
Sample02,0.000000,37,186,0.000000,23,182,0.000000,57,106
Sample03,0.000000,39,198,0.000000,21,178,0.000000,52,93
Sample04,0.000000,37,186,0.000000,22,180,0.000000,58,99
Sample05,0.000000,32,156,0.000000,23,182,0.000000,50,87
Sample06,0.000000,32,156,0.000000,21,178,0.000000,47,84
Sample07,0.000000,37,186,0.000000,19,174,0.000000,51,92
Sample08,0.000000,26,120,0.000000,24,184,0.000000,47,76
Sample09,0.000000,25,114,0.000000,24,184,0.000000,51,92
Sample10,0.000000,30,144,0.000000,25,186,0.000000,54,91
