Sample,InsertionSortTime,InsertionSortCompares,InsertionSortMemaccess,MergeSortTime,MergeSortCompares,MergeSortMemaccess,QuickSortTime,QuickSortCompares,QuickSortMemaccess
Sample01,0.000000,37,186,0.000000,24,184,0.000000,50,91
Sample02,0.000000,32,156,0.000000,23,182,0.000000,50,95
Sample03,0.000000,18,72,0.000000,24,184,0.000000,59,96
Sample04,0.000000,27,126,0.000000,24,184,0.000000,57,98
Sample05,0.000000,26,120,0.000000,24,184,0.000000,63,100
Sample06,0.000000,18,72,0.000000,24,184,0.000000,48,77
Sample07,0.000000,38,192,0.000000,21,178,0.000000,57,94
Sample08,0.000000,28,132,0.000000,23,182,0.000000,53,90
Sample09,0.000000,25,114,0.000000,22,180,0.000000,57,98
Sample10,0.000000,44,228,0.000000,19,174,0.000000,55,100
