Sample,InsertionSortTime,InsertionSortCompares,InsertionSortMemaccess,MergeSortTime,MergeSortCompares,MergeSortMemaccess,QuickSortTime,QuickSortCompares,QuickSortMemaccess
Sample01,0.000000,41,210,0.000000,24,184,0.000000,54,111
Sample02,0.000000,34,168,0.000000,23,182,0.000000,47,92
Sample03,0.000000,29,138,0.000000,21,178,0.000000,52,101
Sample04,0.000000,31,150,0.000000,23,182,0.000000,60,101
Sample05,0.000000,27,126,0.000000,24,184,0.000000,53,94
Sample06,0.000000,23,102,0.000000,22,180,0.000000,46,79
Sample07,0.000000,23,102,0.000000,23,182,0.000000,52,93
Sample08,0.000000,33,162,0.000000,24,184,0.000000,50,83
Sample09,0.000000,18,72,0.000000,23,182,0.000000,52,97
Sample10,0.000000,37,186,0.000000,25,186,0.000000,48,89
