Sample,InsertionSortTime,InsertionSortCompares,InsertionSortMemaccess,MergeSortTime,MergeSortCompares,MergeSortMemaccess,QuickSortTime,QuickSortCompares,QuickSortMemaccess
Sample01,0.000000,27,126,0.000000,25,186,0.000000,50,83
Sample02,0.000000,36,180,0.000000,23,182,0.000000,51,80
Sample03,0.000000,22,96,0.000000,21,178,0.000000,55,92
Sample04,0.000000,24,108,0.000000,23,182,0.000000,47,76
Sample05,0.000000,35,174,0.000000,24,184,0.000000,52,93
Sample06,0.000000,34,168,0.000000,23,182,0.000000,50,95
Sample07,0.000000,25,114,0.000000,23,182,0.000000,45,78
Sample08,0.000000,22,96,0.000000,24,184,0.000000,52,97
Sample09,0.000000,37,186,0.000000,22,180,0.000000,49,90
Sample10,0.000000,34,168,0.000000,24,184,0.000000,49,94
