Sample,InsertionSortTime,InsertionSortCompares,InsertionSortMemaccess,MergeSortTime,MergeSortCompares,MergeSortMemaccess,QuickSortTime,QuickSortCompares,QuickSortMemaccess
Sample01,0.000000,32,156,0.000000,24,184,0.000000,49,86
Sample02,0.000000,35,174,0.000000,21,178,0.000000,50,83
Sample03,0.000000,23,102,0.000000,24,184,0.000000,55,96
Sample04,0.000000,39,198,0.000000,22,180,0.000000,53,94
Sample05,0.000000,32,156,0.000000,24,184,0.000000,50,87
Sample06,0.000000,30,144,0.000000,25,186,0.000000,51,88
Sample07,0.000000,28,132,0.000000,25,186,0.000000,57,86
Sample08,0.000000,38,192,0.000000,22,180,0.000000,55,92
Sample09,0.000000,29,138,0.000000,25,186,0.000000,49,90
Sample10,0.000000,29,138,0.000000,24,184,0.000000,52,93
