Sample,InsertionSortTime,InsertionSortCompares,InsertionSortMemaccess,MergeSortTime,MergeSortCompares,MergeSortMemaccess,QuickSortTime,QuickSortCompares,QuickSortMemaccess
Sample01,0.000000,28,132,0.000000,23,182,0.000000,51,96
Sample02,0.000000,26,120,0.000000,23,182,0.000000,57,94
Sample03,0.000000,39,198,0.000000,23,182,0.000000,56,97
Sample04,0.000000,15,54,0.000000,20,176,0.000000,46,71
Sample05,0.000000,32,156,0.000000,24,184,0.000000,48,85
Sample06,0.000000,27,126,0.000000,24,184,0.000000,50,91
Sample07,0.000000,34,168,0.000000,25,186,0.000000,55,100
Sample08,0.000000,21,90,0.000000,22,180,0.000000,46,79
Sample09,0.000000,24,108,0.000000,22,180,0.000000,46,83
Sample10,0.000000,40,204,0.000000,22,180,0.000000,51,96
