Sample,InsertionSortTime,InsertionSortCompares,InsertionSortMemaccess,MergeSortTime,MergeSortCompares,MergeSortMemaccess,QuickSortTime,QuickSortCompares,QuickSortMemaccess
Sample01,0.000000,44,228,0.000000,21,178,0.000000,48,93
Sample02,0.000000,41,210,0.000000,21,178,0.000000,54,103
Sample03,0.000000,27,126,0.000000,23,182,0.000000,48,81
Sample04,0.000000,35,174,0.000000,23,182,0.000000,54,95
Sample05,0.000000,28,132,0.000000,23,182,0.000000,54,91
Sample06,0.000000,34,168,0.000000,23,182,0.000000,48,85
Sample07,0.000000,26,120,0.000000,22,180,0.000000,55,92
Sample08,0.000000,31,150,0.000000,25,186,0.000000,52,93
Sample09,0.000000,27,126,0.000000,23,182,0.000000,44,69
Sample10,0.000000,39,198,0.000000,22,180,0.000000,52,93
