Sample,InsertionSortTime,InsertionSortCompares,InsertionSortMemaccess,MergeSortTime,MergeSortCompares,MergeSortMemaccess,QuickSortTime,QuickSortCompares,QuickSortMemaccess
Sample01,0.000000,38,192,0.000000,22,180,0.000000,46,83
Sample02,0.000000,29,138,0.000000,22,180,0.000000,53,102
Sample03,0.000000,27,126,0.000000,24,184,0.000000,47,80
Sample04,0.000000,25,114,0.000000,22,180,0.000000,50,91
Sample05,0.000000,33,162,0.000000,21,178,0.000000,57,106
Sample06,0.000000,37,186,0.000000,23,182,0.000000,55,88
Sample07,0.000000,31,150,0.000000,23,182,0.000000,49,82
Sample08,0.000000,34,168,0.000000,21,178,0.000000,58,103
Sample09,0.000000,34,168,0.000000,25,186,0.000000,54,99
Sample10,0.000000,31,150,0.000000,24,184,0.000000,51,100
