Sample,InsertionSortTime,InsertionSortCompares,InsertionSortMemaccess,MergeSortTime,MergeSortCompares,MergeSortMemaccess,QuickSortTime,QuickSortCompares,QuickSortMemaccess
Sample01,0.000000,40,204,0.000000,20,176,0.000000,49,78
Sample02,0.000000,19,78,0.000000,22,180,0.000000,54,95
Sample03,0.000000,42,216,0.000000,23,182,0.000000,50,95
Sample04,0.000000,38,192,0.000000,22,180,0.000000,46,83
Sample05,0.000000,29,138,0.000000,24,184,0.000000,56,97
Sample06,0.000000,30,144,0.000000,25,186,0.000000,47,84
Sample07,0.000000,34,168,0.000000,22,180,0.000000,49,94
Sample08,0.000000,23,102,0.000000,22,180,0.000000,56,97
Sample09,0.000000,31,150,0.000000,24,184,0.000000,52,85
Sample10,0.000000,27,126,0.000000,23,182,0.000000,49,90
