Sample,InsertionSortTime,InsertionSortCompares,InsertionSortMemaccess,MergeSortTime,MergeSortCompares,MergeSortMemaccess,QuickSortTime,QuickSortCompares,QuickSortMemaccess
Sample01,0.000000,40,204,0.000000,21,178,0.000000,53,98
Sample02,0.000000,36,180,0.000000,21,178,0.000000,59,104
Sample03,0.000000,35,174,0.000000,24,184,0.000000,48,97
Sample04,0.000000,30,144,0.000000,23,182,0.000000,57,94
Sample05,0.000000,22,96,0.000000,24,184,0.000000,54,91
Sample06,0.000000,37,186,0.000000,24,184,0.000000,49,90
Sample07,0.000000,30,144,0.000000,22,180,0.000000,55,92
Sample08,0.000000,35,174,0.000000,22,180,0.000000,51,100
Sample09,0.000000,34,168,0.000000,22,180,0.000000,47,84
Sample10,0.000000,23,102,0.000000,24,184,0.000000,48,81
