Sample,InsertionSortTime,InsertionSortCompares,InsertionSortMemaccess,MergeSortTime,MergeSortCompares,MergeSortMemaccess,QuickSortTime,QuickSortCompares,QuickSortMemaccess
Sample01,0.000000,28,132,0.000000,23,182,0.000000,46,75
Sample02,0.000000,31,150,0.000000,22,180,0.000000,53,86
Sample03,0.000000,32,156,0.000000,22,180,0.000000,51,88
Sample04,0.000000,35,174,0.000000,25,186,0.000000,51,92
Sample05,0.000000,32,156,0.000000,25,186,0.000000,54,99
Sample06,0.000000,21,90,0.000000,25,186,0.000000,51,84
Sample07,0.000000,33,162,0.000000,22,180,0.000000,54,103
Sample08,0.000000,23,102,0.000000,23,182,0.000000,57,98
Sample09,0.000000,25,114,0.000000,19,174,0.000000,45,78
Sample10,0.000000,33,162,0.000000,21,178,0.000000,52,101
