Sample,InsertionSortTime,InsertionSortCompares,InsertionSortMemaccess,MergeSortTime,MergeSortCompares,MergeSortMemaccess,QuickSortTime,QuickSortCompares,QuickSortMemaccess
Sample01,0.000000,46,240,0.000000,20,176,0.000000,46,83
Sample02,0.000000,30,144,0.000000,24,184,0.000000,48,93
Sample03,0.000000,39,198,0.000000,21,178,0.000000,56,97
Sample04,0.000000,28,132,0.000000,25,186,0.000000,49,86
Sample05,0.000000,43,222,0.000000,19,174,0.000000,47,80
Sample06,0.000000,32,156,0.000000,22,180,0.000000,50,95
Sample07,0.000000,26,120,0.000000,24,184,0.000000,58,95
Sample08,0.000000,24,108,0.000000,21,178,0.000000,52,89
Sample09,0.000000,38,192,0.000000,22,180,0.000000,50,95
Sample10,0.000000,39,198,0.000000,21,178,0.000000,56,97
