Sample,InsertionSortTime,InsertionSortCompares,InsertionSortMemaccess,MergeSortTime,MergeSortCompares,MergeSortMemaccess,QuickSortTime,QuickSortCompares,QuickSortMemaccess
Sample01,0.000000,41,210,0.000000,22,180,0.000000,50,91
Sample02,0.000000,38,192,0.000000,22,180,0.000000,51,96
Sample03,0.000000,37,186,0.000000,24,184,0.000000,46,87
Sample04,0.000000,34,168,0.000000,24,184,0.000000,58,103
Sample05,0.000000,29,138,0.000000,25,186,0.000000,48,89
Sample06,0.000000,31,150,0.000000,23,182,0.000000,47,88
Sample07,0.000000,38,192,0.000000,25,186,0.000000,51,96
Sample08,0.000000,38,192,0.000000,22,180,0.000000,49,94
Sample09,0.000000,34,168,0.000000,23,182,0.000000,49,94
Sample10,0.000000,30,144,0.000000,22,180,0.000000,50,95
