Sample,InsertionSortTime,InsertionSortCompares,InsertionSortMemaccess,MergeSortTime,MergeSortCompares,MergeSortMemaccess,QuickSortTime,QuickSortCompares,QuickSortMemaccess
Sample01,0.000000,34,168,0.000000,22,180,0.000000,52,97
Sample02,0.000000,34,168,0.000000,22,180,0.000000,53,106
Sample03,0.000000,30,144,0.000000,20,176,0.000000,47,84
Sample04,0.000000,37,186,0.000000,23,182,0.000000,47,88
Sample05,0.000000,44,228,0.000000,22,180,0.000000,53,98
Sample06,0.000000,36,180,0.000000,22,180,0.000000,57,94
Sample07,0.000000,41,210,0.000000,20,176,0.000000,50,91
Sample08,0.000000,24,108,0.000000,24,184,0.000000,46,75
Sample09,0.000000,39,198,0.000000,23,182,0.000000,54,87
Sample10,0.000000,34,168,0.000000,22,180,0.000000,52,97
