Sample,InsertionSortTime,InsertionSortCompares,InsertionSortMemaccess,MergeSortTime,MergeSortCompares,MergeSortMemaccess,QuickSortTime,QuickSortCompares,QuickSortMemaccess
Sample01,0.000000,36,180,0.000000,24,184,0.000000,62,107
Sample02,0.000000,25,114,0.000000,23,182,0.000000,55,96
Sample03,0.000000,22,96,0.000000,25,186,0.000000,54,91
Sample04,0.000000,27,126,0.000000,23,182,0.000000,65,114
Sample05,0.000000,31,150,0.000000,24,184,0.000000,52,101
Sample06,0.000000,40,204,0.000000,22,180,0.000000,45,82
Sample07,0.000000,34,168,0.000000,22,180,0.000000,59,104
Sample08,0.000000,41,210,0.000000,22,180,0.000000,52,93
Sample09,0.000000,30,144,0.000000,24,184,0.000000,48,85
Sample10,0.000000,31,150,0.000000,23,182,0.000000,56,113
