Sample,InsertionSortTime,InsertionSortCompares,InsertionSortMemaccess,MergeSortTime,MergeSortCompares,MergeSortMemaccess,QuickSortTime,QuickSortCompares,QuickSortMemaccess
Sample01,0.000000,30,144,0.000000,24,184,0.000000,53,98
Sample02,0.000000,37,186,0.000000,22,180,0.000000,56,97
Sample03,0.000000,31,150,0.000000,24,184,0.000000,50,83
Sample04,0.000000,22,96,0.000000,20,176,0.000000,48,85
Sample05,0.000000,31,150,0.000000,20,176,0.000000,46,79
Sample06,0.000000,35,174,0.000000,22,180,0.000000,45,78
Sample07,0.000000,27,126,0.000000,25,186,0.000000,48,81
Sample08,0.000000,32,156,0.000000,22,180,0.000000,51,104
Sample09,0.000000,31,150,0.000000,24,184,0.000000,57,90
Sample10,0.000000,34,168,0.000000,25,186,0.000000,46,75
