Sample,InsertionSortTime,InsertionSortCompares,InsertionSortMemaccess,MergeSortTime,MergeSortCompares,MergeSortMemaccess,QuickSortTime,QuickSortCompares,QuickSortMemaccess
Sample01,0.000000,31,150,0.000000,24,184,0.000000,59,108
Sample02,0.000000,22,96,0.000000,24,184,0.000000,54,99
Sample03,0.000000,35,174,0.000000,24,184,0.000000,50,83
Sample04,0.000000,36,180,0.000000,23,182,0.000000,49,86
Sample05,0.000000,38,192,0.000000,21,178,0.000000,51,88
Sample06,0.000000,33,162,0.000000,24,184,0.000000,52,93
Sample07,0.000000,33,162,0.000000,22,180,0.000000,60,109
Sample08,0.000000,27,126,0.000000,22,180,0.000000,55,88
Sample09,0.000000,29,138,0.000000,25,186,0.000000,54,95
Sample10,0.000000,30,144,0.000000,22,180,0.000000,50,87
