Sample,InsertionSortTime,InsertionSortCompares,InsertionSortMemaccess,MergeSortTime,MergeSortCompares,MergeSortMemaccess,QuickSortTime,QuickSortCompares,QuickSortMemaccess
Sample01,0.000000,27,126,0.000000,24,184,0.000000,51,92
Sample02,0.000000,33,162,0.000000,23,182,0.000000,60,101
Sample03,0.000000,32,156,0.000000,25,186,0.000000,59,96
Sample04,0.000000,31,150,0.000000,24,184,0.000000,52,101
Sample05,0.000000,41,210,0.000000,21,178,0.000000,49,98
Sample06,0.000000,45,234,0.000000,20,176,0.000000,50,91
Sample07,0.000000,33,162,0.000000,23,182,0.000000,58,99
Sample08,0.000000,31,150,0.000000,20,176,0.000000,52,93
Sample09,0.000000,33,162,0.000000,22,180,0.000000,46,87
Sample10,0.000000,25,114,0.000000,25,186,0.000000,59,108
