Sample,InsertionSortTime,InsertionSortCompares,InsertionSortMemaccess,MergeSortTime,MergeSortCompares,MergeSortMemaccess,QuickSortTime,QuickSortCompares,QuickSortMemaccess
Sample01,0.000000,37,186,0.000000,21,178,0.000000,50,83
Sample02,0.000000,27,126,0.000000,24,184,0.000000,49,90
Sample03,0.000000,37,186,0.000000,22,180,0.000000,52,93
Sample04,0.000000,35,174,0.000000,21,178,0.000000,49,90
Sample05,0.000000,21,90,0.000000,22,180,0.000000,44,69
Sample06,0.000000,24,108,0.000000,21,178,0.000000,48,85
Sample07,0.000000,24,108,0.000000,23,182,0.000000,49,86
Sample08,0.000000,18,72,0.000000,21,178,0.000000,51,88
Sample09,0.000000,31,150,0.000000,25,186,0.000000,50,91
Sample10,0.000000,28,132,0.000000,24,184,0.000000,52,89
